Maldives,427.24,374.6,319.66,265.93,215.09,174.62,137.78,96.47,67.59,46.74,31.71,20.61,13.93,8.47
Mali,428.39,409.6,391.61,380.03,361.91,334.92,297.58,268.5,240.55,221.59,199.04,172.08,150.67,127.42
Malta,110.99,62.89,44.44,39.16,30.79,23.12,18.32,15.59,12.52,10.73,8.59,7.6,7.33,6.56
Marshall Islands,154.59,132.7,110.81,92.65,76.68,61.64,50.27,42.44,36.61,34.68,40.43,35.36,30.81,24.75
Mauritania,274.62,250.7,234.47,207.4,180.24,172.75,153.55,133.23,116.91,108.81,98.5,84.7,66.51,49.27
Mauritius,130.95,125.13,109.92,93.6,79.88,60.93,42.92,29.73,24.87,23.82,19.13,17.25,15.57,14.74
Mexico,228.79,190.46,156.17,131.72,113.09,93.79,75.23,57.84,45.3,34.85,27.85,23.38,20.61,17.38
Micronesia,173.21,154.01,134.13,113.76,95.26,79.3,64.91,55.97,47.26,39.66,37.77,25.85,23.44,19.48
Middle SDI,246.12,216.58,539.14,166.92,137.44,113.15,93.53,76.99,61.69,50.71,42.3,34.83,28.18,20.68
Moldova,188.8,158.4,128.19,102.45,81.24,70.31,61.13,48.84,38.45,36.48,32.47,22.56,20.15,16.36
Mongolia,319.44,284.59,242.75,197.03,165.75,140.33,133.59,122.66,102.93,85.76,67.62,50.92,39.49,29.35
Montenegro,75.09,74.6,60.51,53.69,39.72,32.17,26.17,23.5,19.17,16.62,15.37,11.26,7.89,4.26
Morocco,329.94,311.92,281.39,238.41,199.74,171.43,134.1,99.85,75.44,60,49.25,39.38,31.81,21.93
Mozambique,327.55,315.82,303.67,289.56,270.67,251.15,241.43,265.01,226.8,203.91,168.28,135.18,109.8,79.13
Myanmar,415.31,384.34,348.63,312.2,277.73,230.57,199.55,174.02,153.89,136.48,119.11,97.84,72.8,48.97
Namibia,129.97,126.11,121.65,112.25,105.9,102.54,101.9,90.89,76.49,67.05,70.87,75.07,55.91,43.6
Nepal,359.49,331.48,304.06,270.88,241.28,223.93,204.03,170.47,135.5,104.79,80.71,64.4,49.76,32.46
Netherlands,34.48,28.01,23.77,20.46,17.86,14.68,12.07,10.98,9.92,7.56,6.98,6.22,4.89,4.27
New Zealand,37.95,34.13,30.79,25.73,22.79,21.08,17.89,16.25,13.56,9.68,8.59,7.12,7.4,4.96
Nicaragua,339.37,296.4,263.01,220.93,186.78,152.32,115.99,96.18,71.48,54.71,39.49,30.34,23.54,17.19
Niger,422.9,404.08,384.28,356.25,340.66,336.19,318.35,312.74,296.83,271.86,229.05,181.11,143.45,112
